bundle,type,count,error
scenario/scenario_cave-spcl-co00101.unity3d,Light,1,
scenario/scenario_cave-spcl-co00101.unity3d,LightmapSettings,1,
scenario/scenario_cave-spcl-co00101.unity3d,NavMeshSettings,1,
scenario/scenario_cave-spcl-co00101.unity3d,ParticleSystem,1,
scenario/scenario_cave-spcl-co00101.unity3d,ParticleSystemRenderer,1,
scenario/scenario_cave-spcl-co00101.unity3d,Canvas,1,
scenario/scenario_cave-spcl-co00101.unity3d,LightingSettings,1,
scenario/scenario_cave-spcl-da00101.unity3d,AnimationClip,725,
scenario/scenario_cave-spcl-da00101.unity3d,MonoBehaviour,293,
scenario/scenario_cave-spcl-da00101.unity3d,GameObject,142,
scenario/scenario_cave-spcl-da00101.unity3d,Transform,105,
scenario/scenario_cave-spcl-da00101.unity3d,MonoScript,71,
scenario/scenario_cave-spcl-da00101.unity3d,RectTransform,37,
scenario/scenario_cave-spcl-da00101.unity3d,CanvasRenderer,19,
scenario/scenario_cave-spcl-da00101.unity3d,Animator,18,
scenario/scenario_cave-spcl-da00101.unity3d,SpriteRenderer,13,
scenario/scenario_cave-spcl-da00101.unity3d,CanvasGroup,12,
scenario/scenario_cave-spcl-da00101.unity3d,AnimatorController,10,
scenario/scenario_cave-spcl-da00101.unity3d,MeshRenderer,6,
scenario/scenario_cave-spcl-da00101.unity3d,MeshFilter,6,
scenario/scenario_cave-spcl-da00101.unity3d,PlayableDirector,5,
scenario/scenario_cave-spcl-da00101.unity3d,Material,4,
scenario/scenario_cave-spcl-da00101.unity3d,TextAsset,4,
scenario/scenario_cave-spcl-da00101.unity3d,BoxCollider,4,
scenario/scenario_cave-spcl-da00101.unity3d,Camera,2,
scenario/scenario_cave-spcl-da00101.unity3d,PreloadData,1,
scenario/scenario_cave-spcl-da00101.unity3d,AssetBundle,1,
scenario/scenario_cave-spcl-da00101.unity3d,Sprite,1,
scenario/scenario_cave-spcl-da00101.unity3d,RenderSettings,1,
scenario/scenario_cave-spcl-da00101.unity3d,Light,1,
scenario/scenario_cave-spcl-da00101.unity3d,LightmapSettings,1,
scenario/scenario_cave-spcl-da00101.unity3d,NavMeshSettings,1,
scenario/scenario_cave-spcl-da00101.unity3d,Canvas,1,
scenario/scenario_cave-spcl-da00101.unity3d,LightingSettings,1,
scenario/scenario_cave-spcl-ni00101.unity3d,AnimationClip,725,
scenario/scenario_cave-spcl-ni00101.unity3d,MonoBehaviour,287,
scenario/scenario_cave-spcl-ni00101.unity3d,GameObject,158,
scenario/scenario_cave-spcl-ni00101.unity3d,Transform,121,
scenario/scenario_cave-spcl-ni00101.unity3d,MonoScript,71,
scenario/scenario_cave-spcl-ni00101.unity3d,RectTransform,37,
scenario/scenario_cave-spcl-ni00101.unity3d,Animator,22,
scenario/scenario_cave-spcl-ni00101.unity3d,CanvasRenderer,19,
scenario/scenario_cave-spcl-ni00101.unity3d,SpriteRenderer,17,
scenario/scenario_cave-spcl-ni00101.unity3d,CanvasGroup,12,
scenario/scenario_cave-spcl-ni00101.unity3d,AnimatorController,10,
scenario/scenario_cave-spcl-ni00101.unity3d,MeshRenderer,10,
scenario/scenario_cave-spcl-ni00101.unity3d,MeshFilter,10,
scenario/scenario_cave-spcl-ni00101.unity3d,Material,6,
scenario/scenario_cave-spcl-ni00101.unity3d,PlayableDirector,5,
scenario/scenario_cave-spcl-ni00101.unity3d,TextAsset,4,
scenario/scenario_cave-spcl-ni00101.unity3d,BoxCollider,4,
scenario/scenario_cave-spcl-ni00101.unity3d,Camera,2,
scenario/scenario_cave-spcl-ni00101.unity3d,Light,2,
scenario/scenario_cave-spcl-ni00101.unity3d,PreloadData,1,
scenario/scenario_cave-spcl-ni00101.unity3d,AssetBundle,1,
scenario/scenario_cave-spcl-ni00101.unity3d,Sprite,1,
scenario/scenario_cave-spcl-ni00101.unity3d,RenderSettings,1,
scenario/scenario_cave-spcl-ni00101.unity3d,LightmapSettings,1,
scenario/scenario_cave-spcl-ni00101.unity3d,NavMeshSettings,1,
scenario/scenario_cave-spcl-ni00101.unity3d,Canvas,1,
scenario/scenario_cave-spcl-ni00101.unity3d,LightingSettings,1,
scenario/scenario_cave-spcl-ni00201-lda.unity3d,AnimationClip,2154,
scenario/scenario_cave-spcl-ni00201-lda.unity3d,MonoBehaviour,738,
scenario/scenario_cave-spcl-ni00201-lda.unity3d,GameObject,443,
